CustomerID,Age,Gender,MaritalStatus,AnnualIncome (USD),TotalPurchases,PreferredCategory
1000,0.36170212765957444,1,0,0.7818909370971252,0.08000000000000002,0
1001,0.17021276595744683,1,2,0.31632260116865074,0.76,1
1002,0.9574468085106383,1,2,0.2646374336564703,0.48000000000000004,1
1003,0.6382978723404255,0,2,0.3845999296800442,0.52,0
1004,0.6595744680851064,1,0,0.6905921944849063,0.36000000000000004,0
1005,0.08510638297872342,1,0,0.8851105865019171,0.76,0
1006,0.1914893617021276,1,1,0.9168550236911279,0.8,1
1007,0.9361702127659574,0,1,0.8004754968439736,0.6000000000000001,0
1008,0.8297872340425531,0,0,0.33611264587205114,0.8,1
1009,0.276595744680851,0,0,0.8665595124483065,0.12,1
1010,0.9999999999999999,0,2,0.1877542819830228,0.9200000000000002,0
1011,0.6170212765957447,1,2,0.6271535486463409,0.08000000000000002,0
1012,0.4042553191489362,1,1,0.7420764478376614,0.08000000000000002,0
1013,0.5531914893617021,0,1,0.9574731695882934,0.2,1
1014,0.6170212765957447,0,1,0.4513369163025098,0.48000000000000004,0
1015,0.9787234042553191,0,1,0.03082358062517787,0.44,0
1016,0.14893617021276595,0,1,0.5956435113097929,0.72,1
1017,0.702127659574468,0,1,0.6825723709545097,0.72,0
1018,0.7446808510638298,1,0,0.41877207962897867,0.6399999999999999,1
1019,0.36170212765957444,1,2,0.06203224672258778,0.48000000000000004,0
1020,0.9999999999999999,1,1,0.4218862491000721,0.44,1
1021,0.5106382978723404,0,0,0.3981783782878765,0.72,1
1022,0.7659574468085105,0,2,0.33872452994458113,0.76,0
1023,0.10638297872340424,1,0,0.6867580826092052,0.24,1
1024,0.1914893617021276,0,0,0.03438980695497851,0.0,0
1025,0.42553191489361697,1,2,0.16860046545113605,0.6799999999999999,1
1026,0.42553191489361697,1,1,0.44462303480837817,0.08000000000000002,1
1027,0.12765957446808507,1,1,0.08386491871347967,0.32,0
1028,0.17021276595744683,1,0,0.7910660170442179,0.76,1
1029,0.7872340425531915,1,2,0.5719356404975975,0.8,1
1030,0.06382978723404253,1,2,0.8261590235571852,0.27999999999999997,0
1031,0.9787234042553191,1,1,0.8622398580206607,0.72,0
1032,0.8723404255319148,1,2,0.9727091600113853,0.72,1
1033,0.7872340425531915,1,2,0.05727727828285367,0.24,0
1034,0.8085106382978723,1,0,0.4583186833425419,1.0,1
1035,0.44680851063829785,0,0,0.014633247944815575,0.44,0
1036,0.7872340425531915,1,2,0.4066837443702178,0.27999999999999997,0
1037,0.21276595744680848,1,1,0.86376345706297,0.6799999999999999,1
1038,0.0,0,0,0.36650091248514083,0.6000000000000001,1
1039,0.851063829787234,0,0,0.5082123662665128,0.24,0
1040,0.702127659574468,0,0,0.15678001573827582,0.32,1
1041,0.04255319148936171,0,0,0.3477321814254859,0.08000000000000002,0
1042,0.6170212765957447,0,0,0.02436084183032805,0.76,1
1043,0.23404255319148937,1,2,0.1787968590419744,0.6000000000000001,1
1044,0.10638297872340424,0,0,0.6242905218745292,0.72,1
1045,0.6170212765957447,0,0,0.3434460126910779,0.03999999999999998,1
1046,0.021276595744680826,1,2,0.7828285365077772,0.27999999999999997,0
1047,0.08510638297872342,0,2,0.9422706648584394,0.6000000000000001,0
1048,0.06382978723404253,1,1,0.5031057980477842,0.72,0
1049,0.42553191489361697,0,0,0.8139032598322367,0.08000000000000002,0
1050,0.04255319148936171,0,1,0.2764578833693305,0.6399999999999999,1
1051,0.42553191489361697,1,0,0.3977765499690258,0.6000000000000001,1
1052,0.34042553191489355,0,0,0.44579503407169296,0.6799999999999999,1
1053,0.2978723404255319,1,2,0.3746211930952501,0.2,0
1054,0.6808510638297872,1,2,0.5960453396286438,0.12,1
1055,0.17021276595744683,0,2,0.5701608987560065,1.0,0
1056,0.42553191489361697,0,2,0.2687059453848344,0.36000000000000004,0
1057,0.851063829787234,1,2,0.5287390962211396,0.52,0
1058,0.3191489361702128,0,0,0.5594789626132235,0.6399999999999999,1
1059,0.44680851063829785,1,2,0.37048570998041086,0.6000000000000001,0
1060,0.0,1,0,0.3730473655130846,0.76,0
1061,0.7659574468085105,0,0,0.973110988330236,0.0,1
1062,0.1914893617021276,0,2,0.6054045908885428,0.36000000000000004,1
1063,0.6808510638297872,1,0,0.13479665812781494,0.8,0
1064,0.1914893617021276,0,0,0.8078256065096188,0.48000000000000004,1
1065,0.723404255319149,0,0,0.13951814087431147,0.8,1
1066,0.46808510638297873,0,2,0.022117300383411198,0.08000000000000002,1
1067,0.5531914893617021,1,2,0.630920689135567,0.15999999999999998,0
1068,0.4893617021276595,1,1,0.29753712726237713,0.56,0
1069,0.2978723404255319,0,0,0.24128116262326926,0.8400000000000001,1
1070,0.1914893617021276,1,1,0.07266395432551442,0.6000000000000001,1
1071,0.4042553191489362,0,2,0.1432183099770623,0.52,1
1072,0.36170212765957444,0,2,0.2994290689302995,0.12,1
1073,0.6382978723404255,1,2,0.8001573827582167,0.9200000000000002,0
1074,0.06382978723404253,0,0,0.5170023607413734,0.56,1
1075,0.04255319148936171,0,2,0.07850720779546938,0.8800000000000001,1
1076,0.9999999999999999,0,1,0.0,0.52,0
1077,0.36170212765957444,0,2,0.24575150267048407,0.08000000000000002,1
1078,0.21276595744680848,1,1,0.9731612168700923,0.27999999999999997,1
1079,0.34042553191489355,1,0,0.44479046327456606,1.0,0
1080,0.44680851063829785,1,0,0.2004621025666784,0.8400000000000001,0
1081,0.34042553191489355,1,1,0.5446615433556015,0.12,1
1082,0.10638297872340424,1,0,0.26383377701876876,0.8400000000000001,1
1083,0.021276595744680826,1,0,0.2746161702412645,0.36000000000000004,0
1084,0.9574468085106383,0,1,0.31225408944028665,0.0,1
1085,0.12765957446808507,1,1,0.6316406315401746,0.6399999999999999,0
1086,0.276595744680851,1,2,0.15545733085539204,0.6399999999999999,1
1087,0.3829787234042553,1,2,0.35868200311416953,0.56,0
1088,0.5319148936170213,0,1,0.20921861134830144,0.6799999999999999,0
1089,0.276595744680851,1,0,0.9941902322232827,0.76,0
1090,0.6808510638297872,0,1,0.5372779479967185,0.72,1
1091,0.9361702127659574,1,0,0.9527182011485593,1.0,1
1092,0.17021276595744683,1,1,0.9857853232206539,0.36000000000000004,0
1093,0.4893617021276595,0,1,0.5010296850670553,0.8,1
1094,0.2978723404255319,0,0,0.3478996098916738,0.2,0
1095,0.021276595744680826,0,0,0.960503624826293,0.52,0
1096,0.702127659574468,1,2,0.504428482930668,1.0,1
1097,0.36170212765957444,1,2,0.38824987024293867,0.9200000000000002,1
1098,0.9148936170212766,0,2,0.6016541932459358,0.9200000000000002,1
1099,0.723404255319149,1,0,0.6653104960905454,0.6799999999999999,1
1100,0.21276595744680848,0,0,0.11060324476367478,0.9200000000000002,1
